id,displayName,sortName,party,state,district,tenureStartDate,nextElectionDate,grade
44132,Rep. Brad Wenstrup [R-OH2],"Wenstrup, Brad (Rep.) [R-OH2]",Republican,OH,2,1/3/2017,1/3/2019,
44133,Rep. Joyce Beatty [D-OH3],"Beatty, Joyce (Rep.) [D-OH3]",Democrat,OH,3,1/3/2017,1/3/2019,
44134,Rep. David Joyce [R-OH14],"Joyce, David (Rep.) [R-OH14]",Republican,OH,14,1/3/2017,1/3/2019,
44135,Rep. Jim Bridenstine [R-OK1],"Bridenstine, Jim (Rep.) [R-OK1]",Republican,OK,1,1/3/2017,1/3/2019,
44136,Rep. Markwayne Mullin [R-OK2],"Mullin, Markwayne (Rep.) [R-OK2]",Republican,OK,2,1/3/2017,1/3/2019,
44137,Rep. Scott Perry [R-PA4],"Perry, Scott (Rep.) [R-PA4]",Republican,PA,4,1/3/2017,1/3/2019,
44138,Rep. Keith Rothfus [R-PA12],"Rothfus, Keith (Rep.) [R-PA12]",Republican,PA,12,1/3/2017,1/3/2019,
44139,Rep. Matthew Cartwright [D-PA17],"Cartwright, Matthew (Rep.) [D-PA17]",Democrat,PA,17,1/3/2017,1/3/2019,
44140,Rep. Tom Rice [R-SC7],"Rice, Tom (Rep.) [R-SC7]",Republican,SC,7,1/3/2017,1/3/2019,
44141,Rep. Randy Weber [R-TX14],"Weber, Randy (Rep.) [R-TX14]",Republican,TX,14,1/3/2017,1/3/2019,
44142,Rep. Beto O'Rourke [D-TX16],"O'Rourke, Beto (Rep.) [D-TX16]",Democrat,TX,16,1/3/2017,1/3/2019,
44143,Rep. Joaquin Castro [D-TX20],"Castro, Joaquin (Rep.) [D-TX20]",Democrat,TX,20,1/3/2017,1/3/2019,
44144,Rep. Roger Williams [R-TX25],"Williams, Roger (Rep.) [R-TX25]",Republican,TX,25,1/3/2017,1/3/2019,
44145,Rep. Marc Veasey [D-TX33],"Veasey, Marc (Rep.) [D-TX33]",Democrat,TX,33,1/3/2017,1/3/2019,
44146,Rep. Filemon Vela [D-TX34],"Vela, Filemon (Rep.) [D-TX34]",Democrat,TX,34,1/3/2017,1/3/2019,
44147,Rep. Chris Stewart [R-UT2],"Stewart, Chris (Rep.) [R-UT2]",Republican,UT,2,1/3/2017,1/3/2019,
44148,Rep. Derek Kilmer [D-WA6],"Kilmer, Derek (Rep.) [D-WA6]",Democrat,WA,6,1/3/2017,1/3/2019,
44149,Rep. Denny Heck [D-WA10],"Heck, Denny (Rep.) [D-WA10]",Democrat,WA,10,1/3/2017,1/3/2019,
44150,Rep. Mark Pocan [D-WI2],"Pocan, Mark (Rep.) [D-WI2]",Democrat,WI,2,1/3/2017,1/3/2019,
44151,Rep. Robin Kelly [D-IL2],"Kelly, Robin (Rep.) [D-IL2]",Democrat,IL,2,1/3/2017,1/3/2019,
44152,Rep. Jason Smith [R-MO8],"Smith, Jason (Rep.) [R-MO8]",Republican,MO,8,1/3/2017,1/3/2019,
44153,Rep. Katherine Clark [D-MA5],"Clark, Katherine (Rep.) [D-MA5]",Democrat,MA,5,1/3/2017,1/3/2019,
