id,question,description,result,externalLink,voteDate
119164,"On Ordering the Previous Question: H.Res. 233: Providing for consideration of the bill (H.R. 1431) to amend the Environmental Research, ...",,Passed,https://www.govtrack.us/congress/votes/115-2017/h203,2017-03-29T13:36:00
119163,"S.J.Res. 34: A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to “Protecting the Privacy of Customers of Broadband and Other",On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h202,2017-03-28T17:56:00
119161,Table Appeal of the Ruling of the Chair,,Passed,https://www.govtrack.us/congress/votes/115-2017/h201,2017-03-28T17:48:00
119159,"H.Res. 230: Providing for consideration of the joint resolution (S.J. Res. 34) providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to “Protecting ",On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h200,2017-03-28T15:47:00
119158,On Ordering the Previous Question: H.Res. 230: Providing for consideration of the joint resolution (S.J. Res. 34) providing for congressional ...,,Passed,https://www.govtrack.us/congress/votes/115-2017/h199,2017-03-28T15:39:00
119160,"H.Res. 229: Providing for consideration of the bill (H.R. 1430) to prohibit the Environmental Protection Agency from proposing, finalizing, or disseminating regulations or assessments based upon science that is not transparent or reproducible.",On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h198,2017-03-28T15:32:00
119157,On Ordering the Previous Question: H.Res. 229: Providing for consideration of the bill (H.R. 1430) to prohibit the Environmental Protection ...,,Passed,https://www.govtrack.us/congress/votes/115-2017/h197,2017-03-28T15:25:00
119156,H.R. 654: Pacific Northwest Earthquake Preparedness Act of 2017,"On Motion to Suspend the Rules and Pass, as Amended in the House",Passed,https://www.govtrack.us/congress/votes/115-2017/h196,2017-03-27T19:13:00
119154,H.R. 1117: To require the Administrator of the Federal Emergency Management Agency to submit a report regarding certain plans regarding assistance to applicants and grantees during the response to an emergency or disaster.,"On Motion to Suspend the Rules and Pass, as Amended in the House",Passed,https://www.govtrack.us/congress/votes/115-2017/h195,2017-03-27T18:53:00
119152,On Approving the Journal,,Passed,https://www.govtrack.us/congress/votes/115-2017/h194,2017-03-24T11:17:00
